GEOHASH,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,COUNT
dny7qnx,38.5757446289,-80.9362792969,38.5757446289,-80.9376525879,38.5771179199,-80.9362792969,38.5771179199,-80.9376525879,11
dny7qpy,38.582611084,-80.9376525879,38.582611084,-80.9390258789,38.583984375,-80.9376525879,38.583984375,-80.9390258789,11
dny7qmc,38.5716247559,-80.9335327148,38.5716247559,-80.9349060059,38.5729980469,-80.9335327148,38.5729980469,-80.9349060059,10
dny7k9r,38.5469055176,-81.0021972656,38.5469055176,-81.0035705566,38.5482788086,-81.0021972656,38.5482788086,-81.0035705566,10
dny7hz2,38.5359191895,-81.0008239746,38.5359191895,-81.0021972656,38.5372924805,-81.0008239746,38.5372924805,-81.0021972656,10
dny7hz0,38.5345458984,-81.0008239746,38.5345458984,-81.0021972656,38.5359191895,-81.0008239746,38.5359191895,-81.0021972656,10
dny7k8r,38.5414123535,-81.0021972656,38.5414123535,-81.0035705566,38.5427856445,-81.0021972656,38.5427856445,-81.0035705566,10
dny7m96,38.5469055176,-80.9651184082,38.5469055176,-80.9664916992,38.5482788086,-80.9651184082,38.5482788086,-80.9664916992,10
dny7qm9,38.5702514648,-80.9335327148,38.5702514648,-80.9349060059,38.5716247559,-80.9335327148,38.5716247559,-80.9349060059,10
dny7m99,38.5482788086,-80.9664916992,38.5482788086,-80.9678649902,38.5496520996,-80.9664916992,38.5496520996,-80.9678649902,10
dny7k8y,38.5441589355,-81.0035705566,38.5441589355,-81.0049438477,38.5455322266,-81.0035705566,38.5455322266,-81.0049438477,10
dny7m9m,38.5469055176,-80.9609985352,38.5469055176,-80.9623718262,38.5482788086,-80.9609985352,38.5482788086,-80.9623718262,10
dny7qpn,38.5784912109,-80.9376525879,38.5784912109,-80.9390258789,38.579864502,-80.9376525879,38.579864502,-80.9390258789,10
dny7m9u,38.5496520996,-80.9623718262,38.5496520996,-80.9637451172,38.5510253906,-80.9623718262,38.5510253906,-80.9637451172,10
dny7qpq,38.579864502,-80.9376525879,38.579864502,-80.9390258789,38.581237793,-80.9376525879,38.581237793,-80.9390258789,10
dny7mdh,38.5510253906,-80.9623718262,38.5510253906,-80.9637451172,38.5523986816,-80.9623718262,38.5523986816,-80.9637451172,10
dny7k8p,38.5400390625,-81.0021972656,38.5400390625,-81.0035705566,38.5414123535,-81.0021972656,38.5414123535,-81.0035705566,10
dny7qm1,38.5675048828,-80.9335327148,38.5675048828,-80.9349060059,38.5688781738,-80.9335327148,38.5688781738,-80.9349060059,10
dny7mds,38.5537719727,-80.9623718262,38.5537719727,-80.9637451172,38.5551452637,-80.9623718262,38.5551452637,-80.9637451172,10
dny7mdu,38.5551452637,-80.9623718262,38.5551452637,-80.9637451172,38.5565185547,-80.9623718262,38.5565185547,-80.9637451172,10
dny7kc8,38.5482788086,-81.0008239746,38.5482788086,-81.0021972656,38.5496520996,-81.0008239746,38.5496520996,-81.0021972656,10
dny7hqf,38.5331726074,-81.0200500488,38.5331726074,-81.0214233398,38.5345458984,-81.0200500488,38.5345458984,-81.0214233398,10
dny7qkc,38.5661315918,-80.9335327148,38.5661315918,-80.9349060059,38.5675048828,-80.9335327148,38.5675048828,-80.9349060059,10
dny7m8g,38.5441589355,-80.9637451172,38.5441589355,-80.9651184082,38.5455322266,-80.9637451172,38.5455322266,-80.9651184082,10
dny7met,38.5592651367,-80.9609985352,38.5592651367,-80.9623718262,38.5606384277,-80.9609985352,38.5606384277,-80.9623718262,10
dny7qq2,38.5743713379,-80.9349060059,38.5743713379,-80.9362792969,38.5757446289,-80.9349060059,38.5757446289,-80.9362792969,10
dny7mev,38.5606384277,-80.9609985352,38.5606384277,-80.9623718262,38.5620117188,-80.9609985352,38.5620117188,-80.9623718262,10
dny7msr,38.5633850098,-80.9582519531,38.5633850098,-80.9596252441,38.5647583008,-80.9582519531,38.5647583008,-80.9596252441,10
dny7hz8,38.5372924805,-81.0008239746,38.5372924805,-81.0021972656,38.5386657715,-81.0008239746,38.5386657715,-81.0021972656,10
dny7qm3,38.5688781738,-80.9335327148,38.5688781738,-80.9349060059,38.5702514648,-80.9335327148,38.5702514648,-80.9349060059,9
dny7qk8,38.5647583008,-80.9349060059,38.5647583008,-80.9362792969,38.5661315918,-80.9349060059,38.5661315918,-80.9362792969,9
dny7msn,38.5620117188,-80.9596252441,38.5620117188,-80.9609985352,38.5633850098,-80.9596252441,38.5633850098,-80.9609985352,9
dny7m1y,38.5496520996,-80.9815979004,38.5496520996,-80.9829711914,38.5510253906,-80.9815979004,38.5510253906,-80.9829711914,9
dny7hwz,38.5331726074,-81.0021972656,38.5331726074,-81.0035705566,38.5345458984,-81.0021972656,38.5345458984,-81.0035705566,9
dny7hwc,38.5331726074,-81.0104370117,38.5331726074,-81.0118103027,38.5345458984,-81.0104370117,38.5345458984,-81.0118103027,9
dny7mdk,38.5523986816,-80.9623718262,38.5523986816,-80.9637451172,38.5537719727,-80.9623718262,38.5537719727,-80.9637451172,9
dny7qpw,38.581237793,-80.9376525879,38.581237793,-80.9390258789,38.582611084,-80.9376525879,38.582611084,-80.9390258789,9
dny7meh,38.5565185547,-80.9623718262,38.5565185547,-80.9637451172,38.5578918457,-80.9623718262,38.5578918457,-80.9637451172,9
dny7mu8,38.5647583008,-80.9568786621,38.5647583008,-80.9582519531,38.5661315918,-80.9568786621,38.5661315918,-80.9582519531,9
dny7hq9,38.5317993164,-81.0214233398,38.5317993164,-81.0227966309,38.5331726074,-81.0214233398,38.5331726074,-81.0227966309,9
dny7m61,38.5510253906,-80.9774780273,38.5510253906,-80.9788513184,38.5523986816,-80.9774780273,38.5523986816,-80.9788513184,8
dny7m3y,38.5496520996,-80.9706115723,38.5496520996,-80.9719848633,38.5510253906,-80.9706115723,38.5510253906,-80.9719848633,8
dny7m3z,38.5496520996,-80.9692382812,38.5496520996,-80.9706115723,38.5510253906,-80.9692382812,38.5510253906,-80.9706115723,8
dny7qhk,38.5633850098,-80.9403991699,38.5633850098,-80.9417724609,38.5647583008,-80.9403991699,38.5647583008,-80.9417724609,8
dny7m60,38.5510253906,-80.9788513184,38.5510253906,-80.9802246094,38.5523986816,-80.9788513184,38.5523986816,-80.9802246094,8
dny7mu9,38.5647583008,-80.9555053711,38.5647583008,-80.9568786621,38.5661315918,-80.9555053711,38.5661315918,-80.9568786621,8
dny7qh6,38.5633850098,-80.943145752,38.5633850098,-80.944519043,38.5647583008,-80.943145752,38.5647583008,-80.944519043,8
dny7m65,38.5510253906,-80.9747314453,38.5510253906,-80.9761047363,38.5523986816,-80.9747314453,38.5523986816,-80.9761047363,8
dny7m6j,38.5510253906,-80.9719848633,38.5510253906,-80.9733581543,38.5523986816,-80.9719848633,38.5523986816,-80.9733581543,8
dny7m1s,38.5482788086,-80.9843444824,38.5482788086,-80.9857177734,38.5496520996,-80.9843444824,38.5496520996,-80.9857177734,8
dny7muu,38.5661315918,-80.951385498,38.5661315918,-80.9527587891,38.5675048828,-80.951385498,38.5675048828,-80.9527587891,8
dny7qh8,38.5647583008,-80.945892334,38.5647583008,-80.947265625,38.5661315918,-80.945892334,38.5661315918,-80.947265625,8
dny7mux,38.5647583008,-80.947265625,38.5647583008,-80.948638916,38.5661315918,-80.947265625,38.5661315918,-80.948638916,8
dny7m8y,38.5441589355,-80.9596252441,38.5441589355,-80.9609985352,38.5455322266,-80.9596252441,38.5455322266,-80.9609985352,8
dny7hnq,38.5304260254,-81.0255432129,38.5304260254,-81.0269165039,38.5317993164,-81.0255432129,38.5317993164,-81.0269165039,8
dny7m8s,38.5427856445,-80.9623718262,38.5427856445,-80.9637451172,38.5441589355,-80.9623718262,38.5441589355,-80.9637451172,8
dny7hx0,38.5345458984,-81.0118103027,38.5345458984,-81.0131835938,38.5359191895,-81.0118103027,38.5359191895,-81.0131835938,8
dny7kcu,38.5496520996,-80.9953308105,38.5496520996,-80.9967041016,38.5510253906,-80.9953308105,38.5510253906,-80.9967041016,8
dny7hrh,38.5345458984,-81.0173034668,38.5345458984,-81.0186767578,38.5359191895,-81.0173034668,38.5359191895,-81.0186767578,8
dny7hrn,38.5345458984,-81.0145568848,38.5345458984,-81.0159301758,38.5359191895,-81.0145568848,38.5359191895,-81.0159301758,8
dny7hrp,38.5345458984,-81.0131835938,38.5345458984,-81.0145568848,38.5359191895,-81.0131835938,38.5359191895,-81.0145568848,8
dny7hwf,38.5331726074,-81.0090637207,38.5331726074,-81.0104370117,38.5345458984,-81.0090637207,38.5345458984,-81.0104370117,8
dny7hws,38.5317993164,-81.0063171387,38.5317993164,-81.0076904297,38.5331726074,-81.0063171387,38.5331726074,-81.0076904297,8
dny7hww,38.5317993164,-81.0035705566,38.5317993164,-81.0049438477,38.5331726074,-81.0035705566,38.5331726074,-81.0049438477,8
dny7hzb,38.5386657715,-81.0008239746,38.5386657715,-81.0021972656,38.5400390625,-81.0008239746,38.5400390625,-81.0021972656,8
dny7kcf,38.5496520996,-80.9980773926,38.5496520996,-80.9994506836,38.5510253906,-80.9980773926,38.5510253906,-80.9994506836,8
dny7kcx,38.5482788086,-80.9912109375,38.5482788086,-80.9925842285,38.5496520996,-80.9912109375,38.5496520996,-80.9925842285,8
dny7qhx,38.5647583008,-80.9362792969,38.5647583008,-80.9376525879,38.5661315918,-80.9362792969,38.5661315918,-80.9376525879,8
dny7m1e,38.5482788086,-80.9857177734,38.5482788086,-80.9870910645,38.5496520996,-80.9857177734,38.5496520996,-80.9870910645,8
dny7kcv,38.5496520996,-80.9939575195,38.5496520996,-80.9953308105,38.5510253906,-80.9939575195,38.5510253906,-80.9953308105,8
dny7m19,38.5482788086,-80.9884643555,38.5482788086,-80.9898376465,38.5496520996,-80.9884643555,38.5496520996,-80.9898376465,8
dny7m6h,38.5510253906,-80.9733581543,38.5510253906,-80.9747314453,38.5523986816,-80.9733581543,38.5523986816,-80.9747314453,7
dny7hnr,38.5304260254,-81.0241699219,38.5304260254,-81.0255432129,38.5317993164,-81.0241699219,38.5317993164,-81.0255432129,7
dny7muf,38.5661315918,-80.9541320801,38.5661315918,-80.9555053711,38.5675048828,-80.9541320801,38.5675048828,-80.9555053711,7
dny7hrj,38.5345458984,-81.0159301758,38.5345458984,-81.0173034668,38.5359191895,-81.0159301758,38.5359191895,-81.0173034668,7
dny7qhm,38.5633850098,-80.9390258789,38.5633850098,-80.9403991699,38.5647583008,-80.9390258789,38.5647583008,-80.9403991699,7
dny7m1d,38.5482788086,-80.9870910645,38.5482788086,-80.9884643555,38.5496520996,-80.9870910645,38.5496520996,-80.9884643555,7
dny7mug,38.5661315918,-80.9527587891,38.5661315918,-80.9541320801,38.5675048828,-80.9527587891,38.5675048828,-80.9541320801,7
dny7m18,38.5482788086,-80.9898376465,38.5482788086,-80.9912109375,38.5496520996,-80.9898376465,38.5496520996,-80.9912109375,7
dny7kcg,38.5496520996,-80.9967041016,38.5496520996,-80.9980773926,38.5510253906,-80.9967041016,38.5510253906,-80.9980773926,7
dny7muw,38.5647583008,-80.948638916,38.5647583008,-80.950012207,38.5661315918,-80.948638916,38.5661315918,-80.950012207,7
dny7hwt,38.5317993164,-81.0049438477,38.5317993164,-81.0063171387,38.5331726074,-81.0049438477,38.5331726074,-81.0063171387,7
dny7m9b,38.5496520996,-80.9678649902,38.5496520996,-80.9692382812,38.5510253906,-80.9678649902,38.5510253906,-80.9692382812,7
dny7qh7,38.5633850098,-80.9417724609,38.5633850098,-80.943145752,38.5647583008,-80.9417724609,38.5647583008,-80.943145752,7
dny7m64,38.5510253906,-80.9761047363,38.5510253906,-80.9774780273,38.5523986816,-80.9761047363,38.5523986816,-80.9774780273,7
dny7m8t,38.5427856445,-80.9609985352,38.5427856445,-80.9623718262,38.5441589355,-80.9609985352,38.5441589355,-80.9623718262,7
dny7k9n,38.5455322266,-81.0035705566,38.5455322266,-81.0049438477,38.5469055176,-81.0035705566,38.5469055176,-81.0049438477,7
dny7m1v,38.5496520996,-80.9829711914,38.5496520996,-80.9843444824,38.5510253906,-80.9829711914,38.5510253906,-80.9843444824,7
dny7m95,38.5455322266,-80.9637451172,38.5455322266,-80.9651184082,38.5469055176,-80.9637451172,38.5469055176,-80.9651184082,6
dny7k8w,38.5427856445,-81.0035705566,38.5427856445,-81.0049438477,38.5441589355,-81.0035705566,38.5441589355,-81.0049438477,6
dny7qny,38.5771179199,-80.9376525879,38.5771179199,-80.9390258789,38.5784912109,-80.9376525879,38.5784912109,-80.9390258789,6
dny7kcc,38.5496520996,-80.9994506836,38.5496520996,-81.0008239746,38.5510253906,-80.9994506836,38.5510253906,-81.0008239746,6
dny7hq8,38.5317993164,-81.0227966309,38.5317993164,-81.0241699219,38.5331726074,-81.0227966309,38.5331726074,-81.0241699219,6
dny7hns,38.5317993164,-81.0282897949,38.5317993164,-81.0296630859,38.5331726074,-81.0282897949,38.5331726074,-81.0296630859,6
dny7m9n,38.5455322266,-80.9596252441,38.5455322266,-80.9609985352,38.5469055176,-80.9596252441,38.5469055176,-80.9609985352,6
dny7qh3,38.5633850098,-80.944519043,38.5633850098,-80.945892334,38.5647583008,-80.944519043,38.5647583008,-80.945892334,5
dny7qq0,38.5729980469,-80.9349060059,38.5729980469,-80.9362792969,38.5743713379,-80.9349060059,38.5743713379,-80.9362792969,5
dny7qq1,38.5729980469,-80.9335327148,38.5729980469,-80.9349060059,38.5743713379,-80.9335327148,38.5743713379,-80.9349060059,5
dny7qhq,38.5633850098,-80.9376525879,38.5633850098,-80.9390258789,38.5647583008,-80.9376525879,38.5647583008,-80.9390258789,5
dny7hnm,38.5304260254,-81.0269165039,38.5304260254,-81.0282897949,38.5317993164,-81.0269165039,38.5317993164,-81.0282897949,5
dny7m1z,38.5496520996,-80.9802246094,38.5496520996,-80.9815979004,38.5510253906,-80.9802246094,38.5510253906,-80.9815979004,5
dny7mem,38.5578918457,-80.9609985352,38.5578918457,-80.9623718262,38.5592651367,-80.9609985352,38.5592651367,-80.9623718262,5
dny7hqg,38.5331726074,-81.0186767578,38.5331726074,-81.0200500488,38.5345458984,-81.0186767578,38.5345458984,-81.0200500488,5
dny7mek,38.5578918457,-80.9623718262,38.5578918457,-80.9637451172,38.5592651367,-80.9623718262,38.5592651367,-80.9637451172,5
dny7m9t,38.5482788086,-80.9609985352,38.5482788086,-80.9623718262,38.5496520996,-80.9609985352,38.5496520996,-80.9623718262,5
dny7m9s,38.5482788086,-80.9623718262,38.5482788086,-80.9637451172,38.5496520996,-80.9623718262,38.5496520996,-80.9637451172,5
dny7hwg,38.5331726074,-81.0076904297,38.5331726074,-81.0090637207,38.5345458984,-81.0076904297,38.5345458984,-81.0090637207,5
dny7m94,38.5455322266,-80.9651184082,38.5455322266,-80.9664916992,38.5469055176,-80.9651184082,38.5469055176,-80.9664916992,5
dny7msq,38.5633850098,-80.9596252441,38.5633850098,-80.9609985352,38.5647583008,-80.9596252441,38.5647583008,-80.9609985352,4
dny7hr5,38.5345458984,-81.0186767578,38.5345458984,-81.0200500488,38.5359191895,-81.0186767578,38.5359191895,-81.0200500488,4
dny7qnz,38.5771179199,-80.9362792969,38.5771179199,-80.9376525879,38.5784912109,-80.9362792969,38.5784912109,-80.9376525879,4
dny7hyb,38.5331726074,-81.0008239746,38.5331726074,-81.0021972656,38.5345458984,-81.0008239746,38.5345458984,-81.0021972656,4
dny7kcw,38.5482788086,-80.9925842285,38.5482788086,-80.9939575195,38.5496520996,-80.9925842285,38.5496520996,-80.9939575195,4
dny7w0n,38.583984375,-80.9376525879,38.583984375,-80.9390258789,38.585357666,-80.9376525879,38.585357666,-80.9390258789,4
dny7mut,38.5647583008,-80.950012207,38.5647583008,-80.951385498,38.5661315918,-80.950012207,38.5661315918,-80.951385498,4
dny7muv,38.5661315918,-80.950012207,38.5661315918,-80.951385498,38.5675048828,-80.950012207,38.5675048828,-80.951385498,4
dny7m9j,38.5455322266,-80.9609985352,38.5455322266,-80.9623718262,38.5469055176,-80.9609985352,38.5469055176,-80.9623718262,4
dny7kcy,38.5496520996,-80.9925842285,38.5496520996,-80.9939575195,38.5510253906,-80.9925842285,38.5510253906,-80.9939575195,3
dny7m4p,38.5510253906,-80.9802246094,38.5510253906,-80.9815979004,38.5523986816,-80.9802246094,38.5523986816,-80.9815979004,3
dny7hnt,38.5317993164,-81.0269165039,38.5317993164,-81.0282897949,38.5331726074,-81.0269165039,38.5331726074,-81.0282897949,3
dny7hq2,38.5304260254,-81.0227966309,38.5304260254,-81.0241699219,38.5317993164,-81.0227966309,38.5317993164,-81.0241699219,3
dny7qhw,38.5647583008,-80.9376525879,38.5647583008,-80.9390258789,38.5661315918,-80.9376525879,38.5661315918,-80.9390258789,3
dny7hwe,38.5317993164,-81.0076904297,38.5317993164,-81.0090637207,38.5331726074,-81.0076904297,38.5331726074,-81.0090637207,3
dny7k9x,38.5482788086,-81.0021972656,38.5482788086,-81.0035705566,38.5496520996,-81.0021972656,38.5496520996,-81.0035705566,3
dny7k9p,38.5455322266,-81.0021972656,38.5455322266,-81.0035705566,38.5469055176,-81.0021972656,38.5469055176,-81.0035705566,3
dny7k8x,38.5427856445,-81.0021972656,38.5427856445,-81.0035705566,38.5441589355,-81.0021972656,38.5441589355,-81.0035705566,3
dny7qh9,38.5647583008,-80.944519043,38.5647583008,-80.945892334,38.5661315918,-80.944519043,38.5661315918,-80.945892334,3
dny7hxz,38.5386657715,-81.0021972656,38.5386657715,-81.0035705566,38.5400390625,-81.0021972656,38.5400390625,-81.0035705566,2
dny7m9d,38.5482788086,-80.9651184082,38.5482788086,-80.9664916992,38.5496520996,-80.9651184082,38.5496520996,-80.9664916992,2
dny7kc9,38.5482788086,-80.9994506836,38.5482788086,-81.0008239746,38.5496520996,-80.9994506836,38.5496520996,-81.0008239746,2
dny7m98,38.5482788086,-80.9678649902,38.5482788086,-80.9692382812,38.5496520996,-80.9678649902,38.5496520996,-80.9692382812,2
dny7msj,38.5620117188,-80.9609985352,38.5620117188,-80.9623718262,38.5633850098,-80.9609985352,38.5633850098,-80.9623718262,2
dny7m8v,38.5441589355,-80.9609985352,38.5441589355,-80.9623718262,38.5455322266,-80.9609985352,38.5455322266,-80.9623718262,2
dny7qnr,38.5743713379,-80.9362792969,38.5743713379,-80.9376525879,38.5757446289,-80.9362792969,38.5757446289,-80.9376525879,1
dny7hwx,38.5317993164,-81.0021972656,38.5317993164,-81.0035705566,38.5331726074,-81.0021972656,38.5331726074,-81.0035705566,1
dny7qkb,38.5661315918,-80.9349060059,38.5661315918,-80.9362792969,38.5675048828,-80.9349060059,38.5675048828,-80.9362792969,1
dny7mud,38.5647583008,-80.9541320801,38.5647583008,-80.9555053711,38.5661315918,-80.9541320801,38.5661315918,-80.9555053711,1
dny7hqc,38.5331726074,-81.0214233398,38.5331726074,-81.0227966309,38.5345458984,-81.0214233398,38.5345458984,-81.0227966309,1
dny7m1t,38.5482788086,-80.9829711914,38.5482788086,-80.9843444824,38.5496520996,-80.9829711914,38.5496520996,-80.9843444824,1
dny7m8u,38.5441589355,-80.9623718262,38.5441589355,-80.9637451172,38.5455322266,-80.9623718262,38.5455322266,-80.9637451172,1
